nu,CH4/x=1e-6/T=300K/P=1atm/L=100cm
6400.69,1.39745989353e-10
6400.7,1.39873583078e-10
6400.71,1.42433924513e-10
6400.72,1.47157036329e-10
6400.73,1.53375312614e-10
6400.74,1.60012865837e-10
6400.75,1.65975200926e-10
6400.76,1.70866478662e-10
6400.77,1.75396870876e-10
6400.78,1.81011398413e-10
6400.79,1.89129708855e-10
6400.8,2.00635891792e-10
6400.81,2.15760539099e-10
6400.82,2.34228691009e-10
6400.83,2.5566132934e-10
6400.84,2.80134524125e-10
6400.85,3.08443890769e-10
6400.86,3.41616906504e-10
6400.87,3.79769059419e-10
6400.88,4.20995756821e-10
6400.89,4.61292535216e-10
6400.9,4.961602914e-10
6400.91,5.23045151108e-10
6400.92,5.42361307599e-10
6400.93,5.56182248075e-10
6400.94,5.66500782227e-10
6400.95,5.75102016457e-10
6400.96,5.84687648741e-10
6400.97,5.99433159545e-10
6400.98,6.239641431e-10
6400.99,6.61212873154e-10
6401.0,7.10037654591e-10
6401.01,7.63276640869e-10
6401.02,8.07525872498e-10
6401.03,8.2678956119e-10
6401.04,8.10154773953e-10
6401.05,7.58456823664e-10
6401.06,6.83607838335e-10
6401.07,6.0126241107e-10
6401.08,5.2373169377e-10
6401.09,4.57567902326e-10
6401.1,4.04757265013e-10
6401.11,3.64790208568e-10
6401.12,3.36131657021e-10
6401.13,3.1687430901e-10
6401.14,3.04826316459e-10
6401.15,2.97373105769e-10
6401.16,2.91500060304e-10
6401.17,2.84306467765e-10
6401.18,2.73929015225e-10
6401.19,2.60200061299e-10
6401.2,2.44373929441e-10
6401.21,2.28098138066e-10
6401.22,2.12500151535e-10
6401.23,1.98013304557e-10
6401.24,1.84781814288e-10
6401.25,1.73024970667e-10
6401.26,1.63033458174e-10
6401.27,1.55016228429e-10
6401.28,1.49059851691e-10
6401.29,1.45169871784e-10
6401.3,1.43283501111e-10
6401.31,1.43262458022e-10
6401.32,1.44928248276e-10
6401.33,1.48139002834e-10
6401.34,1.52844578765e-10
6401.35,1.59094814037e-10
6401.36,1.67026077397e-10
6401.37,1.76801827982e-10
6401.38,1.88495227843e-10
6401.39,2.02005132312e-10
6401.4,2.17033988783e-10
6401.41,2.33088356193e-10
6401.42,2.49641085192e-10
6401.43,2.66596273267e-10
6401.44,2.84777705211e-10
6401.45,3.05853346496e-10
6401.46,3.31400274731e-10
6401.47,3.6143264499e-10
6401.48,3.93051348341e-10
6401.49,4.20068323927e-10
6401.5,4.34688293765e-10
6401.51,4.31366058612e-10
6401.52,4.10342482345e-10
6401.53,3.77526120087e-10
6401.54,3.40850500307e-10
6401.55,3.06557970748e-10
6401.56,2.77765871215e-10
6401.57,2.54943837558e-10
6401.58,2.37103915488e-10
6401.59,2.23012619461e-10
6401.6,2.12005716006e-10
6401.61,2.04101131713e-10
6401.62,1.99604584388e-10
6401.63,1.98747746933e-10
6401.64,2.01611141492e-10
6401.65,2.08209520412e-10
6401.66,2.18602138343e-10
6401.67,2.33018430478e-10
6401.68,2.51978463404e-10
6401.69,2.7626068385e-10
6401.7,3.065073717e-10
6401.71,3.42343965693e-10
6401.72,3.81138899781e-10
6401.73,4.17088091713e-10
6401.74,4.42017316849e-10
6401.75,4.48832545436e-10
6401.76,4.35825246912e-10
6401.77,4.07920962166e-10
6401.78,3.73585057247e-10
6401.79,3.40538632387e-10
6401.8,3.13584832144e-10
6401.81,2.94774316388e-10
6401.82,2.84441596547e-10
6401.83,2.82020445202e-10
6401.84,2.86331816778e-10
6401.85,2.95446596616e-10
6401.86,3.06413223288e-10
6401.87,3.15311746928e-10
6401.88,3.18088708165e-10
6401.89,3.12074249342e-10
6401.9,2.97208006e-10
6401.91,2.75918155334e-10
6401.92,2.51746835531e-10
6401.93,2.27849139096e-10
6401.94,2.06248678173e-10
6401.95,1.8786201818e-10
6401.96,1.72862857204e-10
6401.97,1.61045121575e-10
6401.98,1.52063297124e-10
6401.99,1.4555518378e-10
6402.0,1.41185816741e-10
6402.01,1.38646909367e-10
6402.02,1.37639458344e-10
6402.03,1.37868439542e-10
6402.04,1.39076892974e-10
6402.05,1.41120148214e-10
6402.06,1.44034302416e-10
6402.07,1.48040766609e-10
6402.08,1.53482412614e-10
6402.09,1.60744183369e-10
6402.1,1.70202717362e-10
6402.11,1.8219917772e-10
6402.12,1.96994439549e-10
6402.13,2.14660524457e-10
6402.14,2.34881507922e-10
6402.15,2.56700244791e-10
6402.16,2.7837858814e-10
6402.17,2.97664657992e-10
6402.18,3.12634647535e-10
6402.19,3.22755860405e-10
6402.2,3.29379302585e-10
6402.21,3.35238346489e-10
6402.22,3.43417133045e-10
6402.23,3.56573483621e-10
6402.24,3.76735138036e-10
6402.25,4.05475953765e-10
6402.26,4.44159595551e-10
6402.27,4.94046208659e-10
6402.28,5.56150390204e-10
6402.29,6.30763523121e-10
6402.3,7.16590258951e-10
6402.31,8.09624126646e-10
6402.32,9.0226154209e-10
6402.33,9.83519537305e-10
6402.34,1.04108024901e-09
6402.35,1.06494098635e-09
6402.36,1.05113157216e-09
6402.37,1.00328277422e-09
6402.38,9.30828736544e-10
6402.39,8.45035695162e-10
6402.4,7.55535576681e-10
6402.41,6.68985702259e-10
6402.42,5.8941566007e-10
6402.43,5.18993262127e-10
6402.44,4.58495540403e-10
6402.45,4.07551170791e-10
6402.46,3.64972875348e-10
6402.47,3.29286925826e-10
6402.48,2.99244608818e-10
6402.49,2.74000708022e-10
6402.5,2.52943713733e-10
6402.51,2.35487222247e-10
6402.52,2.21042744346e-10
6402.53,2.09112463736e-10
6402.54,1.99347844913e-10
6402.55,1.91523306779e-10
6402.56,1.85484117074e-10
6402.57,1.81112567812e-10
6402.58,1.7827518581e-10
6402.59,1.76732665454e-10
6402.6,1.76102237553e-10
6402.61,1.75975981347e-10
6402.62,1.76157441092e-10
6402.63,1.76830701778e-10
6402.64,1.78508972001e-10
6402.65,1.81807615577e-10
6402.66,1.87216059364e-10
6402.67,1.94988548358e-10
6402.68,2.05161171629e-10
6402.69,2.17638775928e-10
6402.7,2.32252356547e-10
6402.71,2.48657231688e-10
6402.72,2.66012790771e-10
6402.73,2.82599192097e-10
6402.74,2.95754645366e-10
6402.75,3.02501734885e-10
6402.76,3.00774885214e-10
6402.77,2.90498938665e-10
6402.78,2.7366718019e-10
6402.79,2.53369103976e-10
6402.8,2.32562848465e-10
6402.81,2.13349018485e-10
6402.82,1.96865394347e-10
6402.83,1.83497487396e-10
6402.84,1.7313292599e-10
6402.85,1.65398950888e-10
6402.86,1.59910270195e-10
6402.87,1.5645764032e-10
6402.88,1.55004219505e-10
6402.89,1.55505292383e-10
6402.9,1.57725356167e-10
6402.91,1.61188525572e-10
6402.92,1.65286806004e-10
6402.93,1.69498642522e-10
6402.94,1.73602261516e-10
6402.95,1.77732175291e-10
6402.96,1.82204534279e-10
6402.97,1.87202081298e-10
6402.98,1.92532185594e-10
6402.99,1.97641507764e-10
6403.0,2.01873661881e-10
6403.01,2.04716959255e-10
6403.02,2.05781788734e-10
6403.03,2.0461421485e-10
6403.04,2.00787690228e-10
6403.05,1.94405736576e-10
6403.06,1.86470138069e-10
6403.07,1.78599376382e-10
6403.08,1.72366939393e-10
6403.09,1.68873379098e-10
6403.1,1.68745760026e-10
6403.11,1.72358197931e-10
6403.12,1.80057550946e-10
6403.13,1.9231747075e-10
6403.14,2.09823402713e-10
6403.15,2.3349394857e-10
6403.16,2.64404292707e-10
6403.17,3.03510691732e-10
6403.18,3.51001679097e-10
6403.19,4.05122500778e-10
6403.2,4.60690512204e-10
6403.21,5.08446686722e-10
6403.22,5.37154264092e-10
6403.23,5.3889312775e-10
6403.24,5.14040285814e-10
6403.25,4.71092586817e-10
6403.26,4.21404643467e-10
6403.27,3.73767636285e-10
6403.28,3.32315870042e-10
6403.29,2.97342908459e-10
6403.3,2.67257567109e-10
6403.31,2.4043269444e-10
6403.32,2.16190797787e-10
6403.33,1.94707073753e-10
6403.34,1.76354748136e-10
6403.35,1.61210094278e-10
6403.36,1.48975243509e-10
6403.37,1.39175052647e-10
6403.38,1.31396262472e-10
6403.39,1.25393299143e-10
6403.4,1.21031419324e-10
6403.41,1.18186127124e-10
6403.42,1.16714053337e-10
6403.43,1.16504908938e-10
6403.44,1.17552519836e-10
6403.45,1.19976516229e-10
6403.46,1.2396649108e-10
6403.47,1.29672853291e-10
6403.48,1.37093575606e-10
6403.49,1.46000396195e-10
6403.5,1.55912517401e-10
6403.51,1.66070288617e-10
6403.52,1.75418723528e-10
6403.53,1.82818518987e-10
6403.54,1.87605568469e-10
6403.55,1.90042622941e-10
6403.56,1.91091931197e-10
6403.57,1.91684478998e-10
6403.58,1.9217240275e-10
6403.59,1.92365350994e-10
6403.6,1.92007865309e-10
6403.61,1.91245033665e-10
6403.62,1.90727265381e-10
6403.63,1.91364840019e-10
6403.64,1.93961143009e-10
6403.65,1.98910284291e-10
6403.66,2.06071700624e-10
6403.67,2.1495499799e-10
6403.68,2.25245287828e-10
6403.69,2.37321623072e-10
6403.7,2.52280800872e-10
6403.71,2.7151064261e-10
6403.72,2.96311336109e-10
6403.73,3.27776078649e-10
6403.74,3.66700616569e-10
6403.75,4.13271538455e-10
6403.76,4.66490616303e-10
6403.77,5.2350351022e-10
6403.78,5.79301505987e-10
6403.79,6.27530756849e-10
6403.8,6.6275202658e-10
6403.81,6.83138903331e-10
6403.82,6.91528423698e-10
6403.83,6.93712365815e-10
6403.84,6.95154727702e-10
6403.85,6.98240694538e-10
6403.86,7.01089529591e-10
6403.87,6.97928999238e-10
6403.88,6.81243962876e-10
6403.89,6.45762166095e-10
6403.9,5.9216675151e-10
6403.91,5.27146062404e-10
6403.92,4.59588437412e-10
6403.93,3.96527768916e-10
6403.94,3.4160466625e-10
6403.95,2.9569260206e-10
6403.96,2.58140756737e-10
6403.97,2.27721529284e-10
6403.98,2.03135264364e-10
6403.99,1.83221476756e-10
6404.0,1.67033844781e-10
6404.01,1.53863573848e-10
6404.02,1.43228456961e-10
6404.03,1.34814496297e-10
6404.04,1.28363380224e-10
6404.05,1.23519571511e-10
6404.06,1.19689480717e-10
6404.07,1.16041202268e-10
6404.08,1.11777469191e-10
6404.09,1.06557626679e-10
6404.1,1.00654816681e-10
6404.11,9.46684319456e-11
6404.12,8.91264009816e-11
6404.13,8.43238875369e-11
6404.14,8.03737608523e-11
6404.15,7.72944671757e-11
6404.16,7.50630894024e-11
6404.17,7.36452650768e-11
6404.18,7.30158107114e-11
6404.19,7.31714555316e-11
6404.2,7.41357545878e-11
6404.21,7.59570693551e-11
6404.22,7.86985427414e-11
6404.23,8.24153879224e-11
6404.24,8.71118754366e-11
6404.25,9.26727617423e-11
6404.26,9.87806135239e-11
6404.27,1.04868292522e-10
6404.28,1.10193364212e-10
6404.29,1.14088657495e-10
6404.3,1.1629369977e-10
6404.31,1.17127139029e-10
6404.32,1.17337624988e-10
6404.33,1.17731697888e-10
6404.34,1.1881731817e-10
6404.35,1.20609183288e-10
6404.36,1.22613589419e-10
6404.37,1.23988164918e-10
6404.38,1.2387222473e-10
6404.39,1.21787631583e-10
6404.4,1.17886124982e-10
6404.41,1.12869617743e-10
6404.42,1.07644738328e-10
6404.43,1.02933541596e-10
6404.44,9.90097207897e-11
6404.45,9.56296559061e-11
6404.46,9.22169833706e-11
6404.47,8.82783238114e-11
6404.48,8.37647289505e-11
6404.49,7.90466412732e-11
6404.5,7.45942473709e-11
6404.51,7.07373785491e-11
6404.52,6.76290596975e-11
6404.53,6.52678876974e-11
6404.54,6.34931634891e-11
6404.55,6.20139201831e-11
6404.56,6.05396141923e-11
6404.57,5.89526046864e-11
6404.58,5.73647617445e-11
6404.59,5.60090733093e-11
6404.6,5.50963587573e-11
6404.61,5.4756383117e-11
6404.62,5.50545301046e-11
6404.63,5.60214762157e-11
6404.64,5.76555320521e-11
6404.65,5.98866362288e-11
6404.66,6.25177935356e-11
6404.67,6.5197184819e-11
6404.68,6.74875783869e-11
6404.69,6.90307269521e-11
6404.7,6.96982052233e-11
6404.71,6.96083977237e-11
6404.72,6.90127409612e-11
6404.73,6.81760777886e-11
6404.74,6.73211029309e-11
6404.75,6.65994715624e-11
6404.76,6.60886945953e-11
6404.77,6.58399344036e-11
6404.78,6.5925182984e-11
6404.79,6.64295203385e-11
6404.8,6.74173014812e-11
6404.81,6.89200910874e-11
6404.82,7.09494870134e-11
6404.83,7.35153025837e-11
6404.84,7.66381066488e-11
6404.85,8.03558648379e-11
6404.86,8.47276752361e-11
6404.87,8.98370314356e-11
6404.88,9.57960277812e-11
6404.89,1.02751362385e-10
6404.9,1.10892844388e-10
6404.91,1.20465197338e-10
6404.92,1.31784146344e-10
6404.93,1.45257973462e-10
6404.94,1.61415728589e-10
6404.95,1.80942629227e-10
6404.96,2.0472076894e-10
6404.97,2.33866593913e-10
6404.98,2.69740557796e-10
6404.99,3.13869900681e-10
6405.0,3.67662553297e-10
6405.01,4.31709072262e-10
6405.02,5.04470057349e-10
6405.03,5.80518975175e-10
6405.04,6.49571654096e-10
6405.05,6.98614520896e-10
6405.06,7.18045082469e-10
6405.07,7.07971027431e-10
6405.08,6.78543030686e-10
6405.09,6.43691320739e-10
6405.1,6.13962139677e-10
6405.11,5.93059088746e-10
6405.12,5.78254124079e-10
6405.13,5.63290614041e-10
6405.14,5.42510390313e-10
6405.15,5.14098127121e-10
6405.16,4.80330537861e-10
6405.17,4.45210410661e-10
6405.18,4.12002874112e-10
6405.19,3.82427276499e-10
6405.2,3.57199874534e-10
6405.21,3.36707937218e-10
6405.22,3.21170408369e-10
6405.23,3.10513113564e-10
6405.24,3.04382918504e-10
6405.25,3.02392604982e-10
6405.26,3.04422722761e-10
6405.27,3.10796634159e-10
6405.28,3.222324861e-10
6405.29,3.39583598606e-10
6405.3,3.63486248936e-10
6405.31,3.94004692025e-10
6405.32,4.30239119062e-10
6405.33,4.69902390396e-10
6405.34,5.09146167192e-10
6405.35,5.43316424587e-10
6405.36,5.69160609899e-10
6405.37,5.8735423956e-10
6405.38,6.02848493375e-10
6405.39,6.2236630869e-10
6405.4,6.51176137375e-10
6405.41,6.91106027814e-10
6405.42,7.39939841351e-10
6405.43,7.91813511035e-10
6405.44,8.38639879891e-10
6405.45,8.72247468949e-10
6405.46,8.86125043569e-10
6405.47,8.76218419629e-10
6405.48,8.41616883021e-10
6405.49,7.85482439437e-10
6405.5,7.14878128482e-10
6405.51,6.38642681477e-10
6405.52,5.64602660207e-10
6405.53,4.97908129648e-10
6405.54,4.40922266386e-10
6405.55,3.93988926268e-10
6405.56,3.56330079323e-10
6405.57,3.26698040473e-10
6405.58,3.03726617034e-10
6405.59,2.86119241117e-10
6405.6,2.72830947572e-10
6405.61,2.63204082016e-10
6405.62,2.56876162781e-10
6405.63,2.53452143468e-10
6405.64,2.52179967495e-10
6405.65,2.51877475339e-10
6405.66,2.51207173918e-10
6405.67,2.49197619174e-10
6405.68,2.45695497191e-10
6405.69,2.41411587282e-10
6405.7,2.37543933898e-10
6405.71,2.35309123256e-10
6405.72,2.35700297757e-10
6405.73,2.39504684904e-10
6405.74,2.47391721191e-10
6405.75,2.59871470005e-10
6405.76,2.77045773773e-10
6405.77,2.98212749127e-10
6405.78,3.21474424849e-10
6405.79,3.43520945966e-10
6405.8,3.59842836585e-10
6405.81,3.65859353584e-10
6405.82,3.59106061837e-10
6405.83,3.41052756201e-10
6405.84,3.16532398613e-10
6405.85,2.91107868835e-10
6405.86,2.68780833671e-10
6405.87,2.51403310356e-10
6405.88,2.39268969453e-10
6405.89,2.31928741399e-10
6405.9,2.28734449924e-10
6405.91,2.29031100811e-10
6405.92,2.32152237429e-10
6405.93,2.37435534582e-10
6405.94,2.44359753731e-10
6405.95,2.52730339558e-10
6405.96,2.62752481078e-10
6405.97,2.74900188476e-10
6405.98,2.89674152304e-10
6405.99,3.07470671289e-10
6406.0,3.28699936537e-10
6406.01,3.54021978101e-10
6406.02,3.84386108015e-10
6406.03,4.20699909645e-10
6406.04,4.6324532742e-10
6406.05,5.11161620228e-10
6406.06,5.62455312133e-10
6406.07,6.14793659587e-10
6406.08,6.66388312538e-10
6406.09,7.15541778593e-10
6406.1,7.58636714157e-10
6406.11,7.88764948374e-10
6406.12,7.9760159532e-10
6406.13,7.80168378939e-10
6406.14,7.38643549261e-10
6406.15,6.8168250568e-10
6406.16,6.19983488424e-10
6406.17,5.61905413402e-10
6406.18,5.11631341109e-10
6406.19,4.69634605685e-10
6406.2,4.34314334554e-10
6406.21,4.03940951694e-10
6406.22,3.78003183186e-10
6406.23,3.57263023521e-10
6406.24,3.42874313325e-10
6406.25,3.35529152334e-10
6406.26,3.35069387302e-10
6406.27,3.40396202452e-10
6406.28,3.49562164017e-10
6406.29,3.60258618261e-10
6406.3,3.70857622894e-10
6406.31,3.81491966391e-10
6406.32,3.94164269055e-10
6406.33,4.11617319239e-10
6406.34,4.35836164167e-10
6406.35,4.67000303604e-10
6406.36,5.02933046845e-10
6406.37,5.38925889948e-10
6406.38,5.68258893494e-10
6406.39,5.83914610913e-10
6406.4,5.81250688e-10
6406.41,5.60160942397e-10
6406.42,5.25060624311e-10
6406.43,4.82670473323e-10
6406.44,4.3934956667e-10
6406.45,3.99612657662e-10
6406.46,3.66012259835e-10
6406.47,3.39630345629e-10
6406.48,3.20555617328e-10
6406.49,3.08162508318e-10
6406.5,3.01176749833e-10
6406.51,2.97569635878e-10
6406.52,2.94604914693e-10
6406.53,2.89585231743e-10
6406.54,2.81225963822e-10
6406.55,2.70479266836e-10
6406.56,2.59845134633e-10
6406.57,2.51790706282e-10
6406.58,2.47542226315e-10
6406.59,2.4669835205e-10
6406.6,2.47507642077e-10
6406.61,2.47737745041e-10
6406.62,2.45861501037e-10
6406.63,2.41686658166e-10
6406.64,2.35870492969e-10
6406.65,2.29038087235e-10
6406.66,2.2148321016e-10
6406.67,2.13373713313e-10
6406.68,2.04945813486e-10
6406.69,1.96639640182e-10
6406.7,1.89201144256e-10
6406.71,1.83577282763e-10
6406.72,1.80645004522e-10
6406.73,1.81032798318e-10
6406.74,1.85141143392e-10
6406.75,1.93256053923e-10
6406.76,2.05620572811e-10
6406.77,2.22392759622e-10
6406.78,2.43472922423e-10
6406.79,2.68241021676e-10
6406.8,2.95331035434e-10
6406.81,3.22628560825e-10
6406.82,3.47651237328e-10
6406.83,3.68319168005e-10
6406.84,3.83728703957e-10
6406.85,3.94186106641e-10
6406.86,4.00244552097e-10
6406.87,4.01623402394e-10
6406.88,3.97174641211e-10
6406.89,3.85935357813e-10
6406.9,3.68115839114e-10
6406.91,3.45094680127e-10
6406.92,3.18719460051e-10
6406.93,2.90792933249e-10
6406.94,2.63029473594e-10
6406.95,2.37057976805e-10
6406.96,2.1418197182e-10
6406.97,1.95131268408e-10
6406.98,1.80069961618e-10
6406.99,1.68804296787e-10
6407.0,1.61004254514e-10
6407.01,1.56340112641e-10
6407.02,1.54528036857e-10
6407.03,1.55305427754e-10
6407.04,1.58349901404e-10
6407.05,1.6315400446e-10
6407.06,1.68895042012e-10
6407.07,1.74397477683e-10
6407.08,1.78319410377e-10
6407.09,1.79594267853e-10
6407.1,1.77911953604e-10
6407.11,1.73881560773e-10
6407.12,1.68737753541e-10
6407.13,1.63832785908e-10
6407.14,1.60256226702e-10
6407.15,1.5870684319e-10
6407.16,1.59521343814e-10
6407.17,1.62725268738e-10
6407.18,1.68069625866e-10
6407.19,1.75147359878e-10
6407.2,1.83689867303e-10
6407.21,1.93906779503e-10
6407.22,2.06527930864e-10
6407.23,2.22446253692e-10
6407.24,2.42242458752e-10
6407.25,2.65869775018e-10
6407.26,2.92582091299e-10
6407.27,3.21093942326e-10
6407.28,3.49858395546e-10
6407.29,3.77306853077e-10
6407.3,4.02080933974e-10
6407.31,4.23358773317e-10
6407.32,4.41103351835e-10
6407.33,4.55870775772e-10
6407.34,4.68035221652e-10
6407.35,4.76820127172e-10
6407.36,4.80002617014e-10
6407.37,4.74946079333e-10
6407.38,4.60501906846e-10
6407.39,4.38261441172e-10
6407.4,4.12046860197e-10
6407.41,3.8619309154e-10
6407.42,3.64111227024e-10
6407.43,3.47918664747e-10
6407.44,3.38754647152e-10
6407.45,3.37051220265e-10
6407.46,3.42488796966e-10
6407.47,3.53878407811e-10
6407.48,3.6937782747e-10
6407.49,3.87225851173e-10
6407.5,4.06566425607e-10
6407.51,4.27573173736e-10
6407.52,4.50688016928e-10
6407.53,4.75522922197e-10
6407.54,4.9992393302e-10
6407.55,5.19608027111e-10
6407.56,5.29006744905e-10
6407.57,5.23507004846e-10
6407.58,5.01921933663e-10
6407.59,4.67316121241e-10
6407.6,4.25535923543e-10
6407.61,3.82665778319e-10
6407.62,3.43111269566e-10
6407.63,3.09033531789e-10
6407.64,2.80790746259e-10
6407.65,2.57721751239e-10
6407.66,2.38813054094e-10
6407.67,2.23083119394e-10
6407.68,2.09740721111e-10
6407.69,1.98257040838e-10
6407.7,1.88405946771e-10
6407.71,1.80222300737e-10
6407.72,1.7386067689e-10
6407.73,1.69441924124e-10
6407.74,1.66996716284e-10
6407.75,1.66530105536e-10
6407.76,1.68125662135e-10
6407.77,1.71987817105e-10
6407.78,1.78412890102e-10
6407.79,1.87756360278e-10
6407.8,2.00436492872e-10
6407.81,2.16958315398e-10
6407.82,2.3792640147e-10
6407.83,2.64019623403e-10
6407.84,2.95895455412e-10
6407.85,3.33973124739e-10
6407.86,3.78031692403e-10
6407.87,4.2659371843e-10
6407.88,4.76220427264e-10
6407.89,5.21157306285e-10
6407.9,5.54043087994e-10
6407.91,5.68089275308e-10
6407.92,5.59944884374e-10
6407.93,5.31344253438e-10
6407.94,4.8822272158e-10
6407.95,4.38030155563e-10
6407.96,3.8718077575e-10
6407.97,3.39868484579e-10
6407.98,2.9814727883e-10
6407.99,2.62579364007e-10
6408.0,2.32902572664e-10
6408.01,2.08502614848e-10
6408.02,1.88682827422e-10
6408.03,1.72789563446e-10
6408.04,1.60247326913e-10
6408.05,1.50536842841e-10
6408.06,1.43136380552e-10
6408.07,1.37453512186e-10
6408.08,1.32799255746e-10
6408.09,1.28469009565e-10
6408.1,1.23943291784e-10
6408.11,1.19097274535e-10
6408.12,1.14230132106e-10
6408.13,1.09857942095e-10
6408.14,1.06448477342e-10
6408.15,1.04293844059e-10
6408.16,1.03531663889e-10
6408.17,1.04214568762e-10
6408.18,1.06356436157e-10
6408.19,1.09945360114e-10
6408.2,1.14950112154e-10
6408.21,1.21347243028e-10
6408.22,1.29153661958e-10
6408.23,1.38411874734e-10
6408.24,1.49106859221e-10
6408.25,1.61051364439e-10
6408.26,1.73805037276e-10
6408.27,1.8672519537e-10
6408.28,1.99225793229e-10
6408.29,2.11127253547e-10
6408.3,2.22745332056e-10
6408.31,2.34421004922e-10
6408.32,2.45616148769e-10
6408.33,2.54231450125e-10
6408.34,2.57041500473e-10
6408.35,2.51500259951e-10
6408.36,2.376495644e-10
6408.37,2.1828890021e-10
6408.38,1.97299666501e-10
6408.39,1.77832858955e-10
6408.4,1.61619385234e-10
6408.41,1.49234028396e-10
6408.42,1.40627753044e-10
6408.43,1.35532532262e-10
6408.44,1.3367205273e-10
6408.45,1.34832048786e-10
6408.46,1.38841977581e-10
6408.47,1.45490720087e-10
6408.48,1.54384502792e-10
6408.49,1.6477392118e-10
6408.5,1.75435083613e-10
6408.51,1.84752951407e-10
6408.52,1.91123469171e-10
6408.53,1.93578678309e-10
6408.54,1.92259860696e-10
6408.55,1.88351185519e-10
6408.56,1.83483781292e-10
6408.57,1.79049277142e-10
6408.58,1.75875936235e-10
6408.59,1.74378715934e-10
6408.6,1.74929384452e-10
6408.61,1.78035133207e-10
6408.62,1.84096840434e-10
6408.63,1.92889661338e-10
6408.64,2.03093616061e-10
6408.65,2.12203231456e-10
6408.66,2.17128207431e-10
6408.67,2.15473165077e-10
6408.68,2.06761333109e-10
6408.69,1.92628289117e-10
6408.7,1.7586829889e-10
6408.71,1.5917581472e-10
6408.72,1.44397609341e-10
6408.73,1.32445447796e-10
6408.74,1.23560445982e-10
6408.75,1.1759902139e-10
6408.76,1.14182952836e-10
6408.77,1.12707714225e-10
6408.78,1.12308542299e-10
6408.79,1.11959104758e-10
6408.8,1.10817147373e-10
6408.81,1.08644865349e-10
6408.82,1.05918932896e-10
6408.83,1.03512679003e-10
6408.84,1.022707329e-10
6408.85,1.02800045496e-10
6408.86,1.05491437329e-10
6408.87,1.10617393829e-10
6408.88,1.18386183916e-10
6408.89,1.28904571965e-10
6408.9,1.42037527477e-10
6408.91,1.57169018296e-10
6408.92,1.7290521003e-10
6408.93,1.86902907713e-10
6408.94,1.96234196632e-10
6408.95,1.98554214074e-10
6408.96,1.93440824684e-10
6408.97,1.82655548071e-10
6408.98,1.69046499343e-10
6408.99,1.55198418236e-10
6409.0,1.42807253857e-10
6409.01,1.3273989241e-10
6409.02,1.25312102889e-10
6409.03,1.2049513051e-10
6409.04,1.17988983908e-10
6409.05,1.17217044131e-10
6409.06,1.17335027465e-10
6409.07,1.17349899035e-10
6409.08,1.16421189833e-10
6409.09,1.14255295866e-10
6409.1,1.11260002608e-10
6409.11,1.08252606794e-10
6409.12,1.05985406094e-10
6409.13,1.04878319873e-10
6409.14,1.05035076599e-10
6409.15,1.0638524107e-10
6409.16,1.0881687023e-10
6409.17,1.12266324419e-10
6409.18,1.16773371149e-10
6409.19,1.22482498573e-10
6409.2,1.2955404969e-10
6409.21,1.3800667494e-10
6409.22,1.47614277127e-10
6409.23,1.58023787133e-10
6409.24,1.6911670432e-10
6409.25,1.81340044734e-10
6409.26,1.95673648738e-10
6409.27,2.13279342663e-10
6409.28,2.35166701322e-10
6409.29,2.62019981944e-10
